,Parental_T47D_cells_treated_with_vehicle_rep_1,Parental_T47D_cells_treated_with_vehicle_rep_2,Parental_T47D_cells_treated_with_vehicle_rep_3,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_1,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_2,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_3
HAO1,0,0,0,3,0,0
HAO2,0,0,0,0,0,0
HAO2-IT1,0,0,0,0,0,0
HAP1,10,16,55,11,32,45
HAPLN1,0,0,4,1,0,0
HAPLN2,1,0,0,3,1,1
HAPLN3,0,0,1,1,9,6
HAPLN4,0,0,0,0,0,0
HAPSTR1,1126,536,2142,1711,1733,2036
HAPSTR2,0,0,0,0,0,0
HAR1B,0,0,0,0,0,0
HARBI1,246,130,554,136,155,183
HARS1,662,234,1404,1659,2424,2545
HARS2,493,229,1171,1451,1802,1891
HAS1,0,0,1,0,0,0
HAS2,0,0,0,0,0,0
HAS3,7,3,20,53,109,96
HASPIN,93,49,130,98,190,159
HAT1,899,553,1708,3130,2759,2898
HAUS1,142,80,283,285,347,348
HAUS2,337,161,707,513,663,600
HAUS3,576,251,1023,918,830,806
HAUS4,46,22,125,83,96,122
HAUS5,87,25,235,124,337,307
HAUS5-DT,0,0,0,0,0,0
HAUS6,326,140,702,1104,810,926
HAUS6P1,0,0,2,1,2,0
HAUS7,3,0,4,4,9,10
HAUS8,17,21,96,147,366,324
HAUS8P1,0,0,0,0,0,0
HAVCR1,0,0,2,0,0,0
HAVCR1P1,0,0,0,0,0,0
HAVCR1P2,0,0,0,0,0,0
HAVCR2,2,0,0,1,0,6
HAX1,1833,1095,5988,971,2618,2465
HBA1,1,0,0,0,0,0
HBA2,0,0,0,0,0,0
HBAP1,0,0,0,0,0,0
HBB,0,0,0,0,0,0
HBD,0,0,0,0,0,0
HBE1,0,0,0,0,0,0
HBEGF,29,8,39,34,36,40
HBG1,0,0,0,0,0,0
HBG2,0,0,0,0,0,0
HBM,0,0,0,0,0,0
HBP1,931,576,1861,1598,1409,1670
HBQ1,0,0,0,0,0,0
HBS1L,1100,874,2273,2669,2890,3215
HBZ,0,0,0,0,0,1
HBZP1,0,0,0,0,0,0
HCAR1,303,126,514,22,29,41
HCAR2,3,0,5,0,0,0
HCAR3,0,0,0,0,0,0
HCCAT5,1,0,0,0,0,0
HCCS,347,223,630,565,643,662
HCCS-DT,38,33,56,29,31,33
HCFC1,341,169,1941,404,1891,2497
HCFC1R1,29,30,204,33,191,215
HCFC2,362,221,603,958,728,981
HCFC2P1,0,0,0,0,0,0
HCG11,0,0,0,2,0,0
HCG14,1,1,1,1,1,0
HCG17,0,0,0,1,2,0
HCG18,944,464,1297,1342,1357,1780
HCG20,1,0,4,0,3,5
HCG22,0,0,0,0,0,0
HCG23,0,0,1,0,0,2
HCG25,103,71,199,84,65,86
HCG27,14,3,17,66,96,113
HCG9,0,0,0,2,0,1
HCK,0,0,0,0,0,0
HCLS1,1,0,8,6,2,5
HCN1,0,0,0,0,0,0
HCN2,21,18,139,22,141,167
HCN3,24,0,123,87,218,243
HCN4,0,0,3,0,5,1
HCP5,13,11,15,19,30,33
HCP5B,0,0,0,0,0,0
HCRT,0,0,0,0,0,0
HCRTR1,0,0,0,0,0,0
HCRTR2,0,0,0,0,0,0
HCST,1,0,3,0,0,2
HDAC1,1314,622,2847,2777,4235,4583
HDAC10,4,1,8,32,65,73
